24907,0.0102,52734.618,p,vis,Stephan Chris,,"W,0946,A,A010,,",
24908,0.005,52735.1214,s,vis,Tvardowskyi,,",,,,priv.comm,",
24910,0.0086,52735.632,p,vis,Stephan Chris,,"W,0946,A,A010,,",
24911,0.0012,52736.1331,s,vis,Tvardowskyi,,",,,,priv.comm,",
24930,0.001,52742.3945,p,-Ir,Raetz Manfred,,"D,0172,I,5643,,",
24945,0.0018,52747.4729,p,-Ir,Agerer Franz,,"D,0158,I,5484,,",
25689,0.0024,52999.3227,p,Rc,Nakajima Karuhir,"J,corr,,,,25SC+CV-04",,
25775,0.0017,53028.6036,s,R,Zejda Miloslav,,"I,5583,,,,RL400",
25937,0.002,53083.4421,s,I,Zejda Miloslav,,"I,5583,,,,RL400",
25937,0.0021,53083.4422,s,R,Zejda Miloslav,,"I,5583,,,,RL400",
25937,0.0024,53083.4425,s,V,Zejda Miloslav,,"I,5583,,,,RL400",
25938,0.0032,53083.6118,p,R,Zejda Miloslav,,"I,5583,,,,RL400",
25938,0.0043,53083.6129,p,I,Zejda Miloslav,,"I,5583,,,,RL400",
25938,0.0046,53083.6132,p,V,Zejda Miloslav,,"I,5583,,,,RL400",
25966,-0.0064,53093.2504,s,V,Tvardowskyi,,",,,,priv.comm,",
25973,0.003,53095.4593,p,,Agerer Franz,,"D,0172,I,5643,,",
25976,0.002,53096.4738,p,-Ir,Poschinger K,,"D,0172,I,5643,,",
26005,0.001,53106.4595,s,-Ir,Poschinger K,,"D,0172,I,5643,,",
26830,0.0024,53385.7292,s,V,Sobotka Petr,,"I,5809,,,,INTEGRAL OMC",
26831,0.0015,53386.0668,s,V,Sobotka Petr,,"I,5809,,,,INTEGRAL OMC",
26904,0.0039,53410.6102,p,ccd,Poschinger Konst,"D,0173,I,5657,,",,
27024,0.0018,53451.399,s,ccdC,Brat L,,,"C,0034,E,0074,,RF80"
27024,0.0021,53451.3992,s,ccd,Brat Lubos,,"C,0000,,,,",
27057,0.0025,53462.4004,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
27057,0.0016,53462.5695,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
27125,0.0017,53485.4181,p,ccd,Poschinger Konst,"D,0173,I,5657,,",,
27260,0.0024,53531.2872,s,vis,Tvardowskyi,,",,,,priv.comm,",
27905,0.0018,53749.4537,p,ccdR,Brat L,,,"C,0034,E,0074,,RL200 + ST8"
28074,0.0006,53806.8301,s,R,Nelson Robert,,"I,5760,,,,",
28156,0.001,53834.4181,p,ccdR,Dreveny R,,"C,0034,E,0074,,RF 80/900 +",
28156,0.0012,53834.4183,p,ccdV,Dreveny R,,"C,0034,E,0074,,RF 80/900 +",
28156,0.0014,53834.4185,p,ccdI,Dreveny R,,"C,0034,E,0074,,RF 80/900 +",
28188,0.001,53845.4203,s,ccd,Parimucha Stefan,"I,5777,,,,26cmNewton",,
28241,-0.0038,53863.3564,s,ccd,Dogru S S,,"I,5707,,,,",
28298,0,53882.6551,s,ccd,Samolyk G,,"A,0012,,,,",
28883,-0.0007,54080.681,s,ccdR,Brat L,,,"C,0034,E,0074,,RL200 + ST8"
28922,0.0015,54093.715,p,ccdR,Brat L,,,"C,0034,E,0074,,RL200 + ST8"
29152,0.0014,54171.5714,p,ccdB,Svoboda P,,"C,0034,E,0074,,SCT 200/800",
29152,0.0017,54171.5717,p,ccdR,Svoboda P,,"C,0034,E,0074,,SCT 200/800",
29152,0.0018,54171.5718,p,ccdI,Svoboda P,,"C,0034,E,0074,,SCT 200/800",
29152,0.0019,54171.5719,p,ccdV,Svoboda P,,"C,0034,E,0074,,SCT 200/800",
29160,0.0009,54174.449,s,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
29161,0.0014,54174.618,p,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
29163,0.0014,54175.465,s,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
29164,0.0029,54175.635,p,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
29166,-0.0003,54176.4788,s,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL96/400",
29182,0.0014,54181.7267,p,R,Nelson Robert,,"I,5820,,,,ST-7",
29226,0.0094,54196.629,p,vis,Stephan Chris,,"A,0012,,,,",
29230,-0.0085,54198.1352,s,vis,Tvardowskyi,,",,,,priv.comm,",
