922,-0.0799,49535.446,p,vis,Rottenborn M,,"C,0031,C,0031,,",
922,-0.0789,49535.447,p,vis,Stefanco M,,"C,0031,C,0031,,",
922,-0.0729,49535.453,p,vis,Rusinko J,,"C,0031,C,0031,,",
922,-0.0709,49535.455,p,vis,Vanko M,,,"C,0031,C,0031,,"
922,-0.0699,49535.456,p,vis,Fedorisin J,,"C,0031,C,0031,,",
922,-0.0659,49535.46,p,vis,Jirout J,,"C,0031,C,0031,,",
922,-0.0569,49535.469,p,vis,Polak J,,,"C,0031,C,0031,,"
922,-0.0549,49535.471,p,vis,Skalak P,,"C,0031,C,0031,,",
922,-0.0539,49535.472,p,vis,Dahm Michael,,"D,0079,D,0079,,",
942,-0.0851,49566.418,p,vis,Lutcha P,,"C,0031,C,0031,,",
942,-0.0781,49566.425,p,vis,Hajek P,,,"C,0031,C,0031,,"
942,-0.0771,49566.426,p,vis,Mokry K,,,"C,0031,C,0031,,"
942,-0.0609,49566.4422,p,vis,Brat Lubos,,"C,0031,C,0031,,",
944,-0.0858,49569.515,p,vis,Honzik L,,"C,0031,C,0031,,",
944,-0.0818,49569.519,p,vis,Rottenborn M,,"C,0031,C,0031,,",
944,-0.0628,49569.538,p,vis,Mocek J,,,"C,0031,C,0031,,"
944,-0.0628,49569.538,p,vis,Kratochvil A,,"C,0031,C,0031,,",
951,-0.0559,49580.387,p,vis,Molik Petr,,"E,0060,,,,RF200",
1157,-0.0641,49899.4439,p,vis,Ambroz M,,"C,0032,,,,SB",
1157,-0.0606,49899.4474,p,vis,Rottenborn M,,"C,0032,,,,SM",
1157,-0.0606,49899.4474,p,vis,Cerny T,,,"C,0032,,,,SB"
1157,-0.0605,49899.4475,p,ccd,Kleikamp Wilhelm,"D,0091,I,4383,,",,
1157,-0.0599,49899.4481,p,vis,Kratochvil A,,"C,0032,,,,SM",
1157,-0.0571,49899.4509,p,vis,Vetrovcova M,,"C,0032,,,,SM",
1177,-0.0631,49930.4221,p,vis,Cechal J,,"C,0032,,,,RL110",
1177,-0.0624,49930.4228,p,vis,Stepan P,,"C,0032,,,,SB",
1177,-0.0624,49930.4228,p,vis,Kovarik J,,"C,0032,,,,SB",
1177,-0.0617,49930.4235,p,vis,Lutcha P,,"C,0032,,,,SB",
1177,-0.0582,49930.427,p,vis,Sobotka P,,"C,0032,,,,SB",
1177,-0.0568,49930.4284,p,vis,Brat Lubos,,"C,0032,,,,SB",
1177,-0.0568,49930.4284,p,vis,Hajek P,,,"C,0032,,,,SB"
1177,-0.0568,49930.4284,p,vis,Matus R,,,"C,0032,,,,SB"
1177,-0.0554,49930.4298,p,vis,Tuma D,,,"C,0032,,,,SB"
1177,-0.054,49930.4312,p,vis,Zejda Miloslav,,"C,0032,,,,SB",
1177,-0.052,49930.4332,p,vis,Strobl J,,"C,0032,,,,SB",
